frame,fps_frame,n_dets,n_fused,n_tracks,n_drawn,n_voronoi_points,n_hold_points,dup_pairs,id_switches_cum
268,1.125,22,18,18,11,11,0,0,2
269,1.127,23,19,19,11,11,0,0,2
270,1.099,22,17,17,11,11,0,0,2
271,1.142,22,17,17,11,11,0,0,2
272,1.105,23,19,19,11,11,0,0,2
273,1.127,23,19,19,11,11,0,0,2
274,1.119,22,18,18,11,11,0,0,2
275,1.11,22,18,18,11,11,0,0,2
276,1.04,22,19,19,11,11,0,0,2
277,1.126,22,18,18,11,11,0,0,2
278,1.081,25,20,20,11,11,0,0,2
279,1.066,25,20,20,11,11,0,0,2
280,1.109,22,18,18,11,11,0,0,2
281,1.046,23,18,18,11,11,0,0,2
282,1.111,22,17,17,11,11,0,0,2
283,1.097,22,18,18,11,11,0,0,2
284,1.086,22,19,19,11,11,0,0,2
285,1.099,22,19,19,11,11,0,0,2
286,1.095,22,20,20,11,11,0,0,2
287,1.021,22,20,20,11,11,0,0,2
288,1.035,22,20,20,11,11,0,0,2
289,1.058,22,20,20,11,11,0,0,2
290,1.07,22,21,21,11,11,0,0,2
291,1.038,22,21,21,11,11,0,0,2
292,1.08,22,20,20,11,11,0,0,2
293,1.032,22,21,21,11,11,0,0,2
294,1.085,23,22,22,11,11,0,0,2
295,1.091,23,22,22,11,11,0,0,2
296,1.114,23,21,21,11,11,0,0,2
297,1.077,23,22,22,11,11,0,0,2
298,1.008,23,22,22,11,11,0,0,2
299,1.039,23,23,23,11,11,0,0,2
300,1.032,24,22,22,11,11,0,0,2
301,1.067,22,21,21,11,11,0,0,2
302,1.046,22,21,21,11,11,0,0,2
303,0.981,24,22,22,11,11,0,0,2
304,1.019,23,20,20,11,11,0,0,2
305,1.057,22,20,20,11,11,0,0,2
306,1.104,23,20,20,11,11,0,0,2
307,1.096,23,19,19,11,11,0,0,2
308,1.106,23,21,21,11,11,0,0,2
309,1.043,25,20,20,11,11,0,0,2
310,1.083,25,20,20,11,11,0,0,2
311,1.108,23,22,22,11,11,0,0,2
312,1.111,23,22,22,11,11,0,0,2
313,1.088,23,23,23,11,11,0,0,2
314,1.125,23,22,22,11,11,0,0,2
315,1.083,22,21,21,11,11,0,0,2
316,1.114,22,22,22,11,11,0,0,2
317,1.128,21,21,21,10,11,1,0,2
318,1.136,21,21,21,10,11,1,0,2
319,1.135,21,21,21,10,11,1,0,2
320,1.117,21,21,21,10,11,1,0,2
321,1.104,22,22,22,10,11,1,0,2
322,1.126,22,20,20,9,11,2,0,2
323,1.119,22,20,20,9,11,2,0,2
324,1.111,22,20,20,9,11,2,0,2
325,1.102,23,20,20,9,11,2,0,2
326,1.039,24,22,22,9,11,2,0,2
327,1.08,24,23,23,10,11,1,0,2
328,1.13,23,21,21,9,11,2,0,2
329,1.141,23,21,21,10,11,1,0,3
330,1.109,23,20,20,10,11,1,0,3
331,1.095,24,21,21,10,11,1,0,3
332,1.087,22,20,20,10,11,1,0,4
333,1.122,22,20,20,11,11,0,0,7
334,1.098,21,20,20,11,11,0,0,9
335,1.077,21,20,20,11,11,0,0,11
336,1.142,21,20,20,11,11,0,0,13
337,1.107,21,20,20,11,11,0,0,15
338,1.084,22,21,21,11,11,0,0,17
339,1.093,22,20,20,11,11,0,0,19
340,1.127,22,20,20,11,11,0,0,20
341,1.11,22,20,20,11,11,0,0,21
342,1.082,23,20,20,11,11,0,0,23
343,1.009,23,20,20,11,11,0,0,25
344,1.104,23,20,20,11,11,0,0,27
345,1.086,23,21,21,11,11,0,0,29
346,1.068,23,20,20,11,11,0,0,31
347,1.087,23,22,22,11,11,0,0,33
348,1.102,23,21,21,11,11,0,0,35
349,1.036,23,21,21,11,11,0,0,37
350,1.107,23,22,22,11,11,0,0,39
351,1.076,23,22,22,11,11,0,0,41
352,1.102,22,21,21,11,11,0,0,42
353,1.09,24,23,23,11,11,0,0,43
354,1.071,24,23,23,11,11,0,0,45
355,1.09,23,22,22,11,11,0,0,47
356,1.098,24,24,24,11,11,0,0,49
357,1.047,23,23,23,11,11,0,0,52
358,1.12,23,22,22,11,11,0,0,56
359,1.094,23,21,21,11,11,0,0,60
360,1.137,20,17,17,11,11,0,0,63
361,1.16,20,16,16,11,11,0,0,64
362,1.132,21,19,19,11,11,0,0,66
363,1.109,21,18,18,11,11,0,0,69
364,1.111,21,20,20,11,11,0,0,72
365,1.12,21,19,19,11,11,0,0,76
366,1.094,22,20,20,11,11,0,0,80
367,1.136,22,20,20,11,11,0,0,84
368,1.12,22,20,20,11,11,0,0,88
369,1.138,22,21,21,11,11,0,0,92
370,1.137,22,21,21,11,11,0,0,96
371,1.087,22,21,21,11,11,0,0,100
372,1.119,21,20,20,11,11,0,0,104
373,1.143,21,20,20,11,11,0,0,108
374,1.072,21,20,20,11,11,0,0,112
375,1.168,21,19,19,11,11,0,0,116
376,1.161,21,20,20,11,11,0,0,120
377,1.121,21,19,19,11,11,0,0,121
378,1.12,21,20,20,11,11,0,0,123
379,1.14,21,18,18,11,11,0,0,124
